skill_name,skill_category,skill_aliases
SAP,IT Skills,sap
SAP Management,IT Skills,"sap,sap management,sap basic"
SAP Management,IT Skills,"sap,sap management,sap advanced"
SAP Management,IT Skills,"sap,sap management,sap professional"
SAP Management,IT Skills,"sap,sap management,sap expert"
SAP Management,IT Skills,"sap,sap management,sap lead"
SAP Management,IT Skills,"sap,sap management,sap senior"
SAP Operations,IT Skills,"sap,sap operations,sap basic"
SAP Operations,IT Skills,"sap,sap operations,sap advanced"
SAP Operations,IT Skills,"sap,sap operations,sap professional"
SAP Operations,IT Skills,"sap,sap operations,sap expert"
SAP Operations,IT Skills,"sap,sap operations,sap lead"
SAP Operations,IT Skills,"sap,sap operations,sap senior"
SAP Strategy,IT Skills,"sap,sap strategy,sap basic"
SAP Strategy,IT Skills,"sap,sap strategy,sap advanced"
SAP Strategy,IT Skills,"sap,sap strategy,sap professional"
SAP Strategy,IT Skills,"sap,sap strategy,sap expert"
SAP Strategy,IT Skills,"sap,sap strategy,sap lead"
SAP Strategy,IT Skills,"sap,sap strategy,sap senior"
SAP Planning,IT Skills,"sap,sap planning,sap basic"
SAP Planning,IT Skills,"sap,sap planning,sap advanced"
SAP Planning,IT Skills,"sap,sap planning,sap professional"
SAP Planning,IT Skills,"sap,sap planning,sap expert"
SAP Planning,IT Skills,"sap,sap planning,sap lead"
SAP Planning,IT Skills,"sap,sap planning,sap senior"
SAP Execution,IT Skills,"sap,sap execution,sap basic"
SAP Execution,IT Skills,"sap,sap execution,sap advanced"
SAP Execution,IT Skills,"sap,sap execution,sap professional"
SAP Execution,IT Skills,"sap,sap execution,sap expert"
SAP Execution,IT Skills,"sap,sap execution,sap lead"
SAP Execution,IT Skills,"sap,sap execution,sap senior"
SAP Analysis,IT Skills,"sap,sap analysis,sap basic"
SAP Analysis,IT Skills,"sap,sap analysis,sap advanced"
SAP Analysis,IT Skills,"sap,sap analysis,sap professional"
SAP Analysis,IT Skills,"sap,sap analysis,sap expert"
SAP Analysis,IT Skills,"sap,sap analysis,sap lead"
SAP Analysis,IT Skills,"sap,sap analysis,sap senior"
SAP Optimization,IT Skills,"sap,sap optimization,sap basic"
SAP Optimization,IT Skills,"sap,sap optimization,sap advanced"
SAP Optimization,IT Skills,"sap,sap optimization,sap professional"
SAP Optimization,IT Skills,"sap,sap optimization,sap expert"
